"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Reynolds R.B.","Reynolds, Rebecca B. (57193262209)","57193262209","Relationships among tasks, collaborative inquiry processes, inquiry resolutions, and knowledge outcomes in adolescents during guided discovery-based game design in school","2016","Journal of Information Science","42","1","","35","58","23","20","10.1177/0165551515614537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954142000&doi=10.1177%2f0165551515614537&partnerID=40&md5=e6469f900cb89a23e9d2af6ef5046eb8","Rutgers University, School of Communication and Information, United States; Rutgers University, 4 Huntington St, New Brunswick, 08901, NJ, United States","Reynolds R.B., Rutgers University, School of Communication and Information, United States, Rutgers University, 4 Huntington St, New Brunswick, 08901, NJ, United States","This research study investigates US middle school students' collaborative information-seeking, sense-making and knowledge-building practices in a guided discovery-based programme of game design learning in which students and their teachers participate in a formal, in-school class daily, for credit and a grade for an entire year. The learning is supported by information affordances including a wiki learning management system (LMS) housing the curriculum, organized design activities, social media features, tutorials and informational assignments. Students engage in a Constructionist blended learning setting in their classroom, and work collaboratively in teams on game design. The study draws on qualitative video data from six team cases using a coding scheme of categories for the concepts of task, collaborative information seeking (CIS) Modality, and inquiry resolution outcomes. The study also considers linkages between processes and learning outcomes. Variation in engagement across the categories among students was charted, and certain patterns emerged. Findings indicate that some categories of task appear related to some categories of students' chosen CIS Modality for solving problems. Further, CIS processes in support of tasks appear related to inquiry incident resolution (resolved/unresolved). For student completion of advanced programming tasks in particular, we observe more frequent uses of the wiki-based LMS resources, and greater levels of challenge in fulfilling tasks. Results support existing work on these theoretical constructs in the information sciences, and lead to questions on how naturalistic emergence of CIS practices result from greater task knowledge, and whether learned CIS practices (as tasks in and of themselves) can yield project task knowledge gains. Findings of the study and the ongoing questions the work invites hold instructional design implications, and show how social constructivist educational contexts involving collaborative and information seeking and knowledge building among youth game designers can contribute to scholarly understanding of these processes more broadly in related project-based work contexts occurring among both youth and adults. © 2016 Chartered Institute of Library and Information Professionals.","Collaborative information-seeking; constructionism; game design; guided discovery-based learning; guided inquiry; information literacy; knowledge-building; learning analytics; sense-making; social constructivism","Article","Final","","Scopus","2-s2.0-84954142000"
"Lonn S.; Aguilar S.J.; Teasley S.D.","Lonn, Steven (7003466060); Aguilar, Stephen J. (55657654300); Teasley, Stephanie D. (6603844545)","7003466060; 55657654300; 6603844545","Investigating student motivation in the context of a learning analytics intervention during a summer bridge program","2015","Computers in Human Behavior","47","","","90","97","7","98","10.1016/j.chb.2014.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027953050&doi=10.1016%2fj.chb.2014.07.013&partnerID=40&md5=b3e05f5c5ce855f9f94340728fffbaff","USE Lab, University Library, University of Michigan, United States; Combined Program in Education and Psychology, USE Lab, University of Michigan, United States; School of Information, USE Lab, University of Michigan, United States","Lonn S., USE Lab, University Library, University of Michigan, United States; Aguilar S.J., Combined Program in Education and Psychology, USE Lab, University of Michigan, United States; Teasley S.D., School of Information, USE Lab, University of Michigan, United States","Summer bridge programs are designed to improve retention and academic success among at-risk populations in postsecondary education by focusing on successful skills, behaviors, and high impact practices that promote academic performance. Recent research on these programs has focused primarily on how students' incoming demographics and prior academic performance predict academic performance at the university level. This study investigated changes in students' academic motivation orientations over the course of one bridge program, and how a learning analytics-based intervention was employed by academic advisors to inform their face-to-face meetings with students. The results of our study show that students' mastery orientation decreased over the course of the bridge program, and indicate that students' exposure to displays of their academic performance negatively predicts this change. The findings suggest that student perceptions of their goals and formative performance need to be carefully considered in the design of learning analytics interventions since the resulting tools can affect students' interpretations of their own data as well as their subsequent academic success. © 2014 Elsevier Ltd. All rights reserved.","At-risk students; Design-based research; Early warning systems; Learning analytics; Motivation","Article","Final","","Scopus","2-s2.0-85027953050"
"Marbouti F.; Diefes-Dux H.A.; Madhavan K.","Marbouti, Farshid (54793036900); Diefes-Dux, Heidi A. (6603403821); Madhavan, Krishna (36141964000)","54793036900; 6603403821; 36141964000","Models for early prediction of at-risk students in a course using standards-based grading","2016","Computers and Education","103","","","1","15","14","194","10.1016/j.compedu.2016.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988526942&doi=10.1016%2fj.compedu.2016.09.005&partnerID=40&md5=ffc5b26fe43bbd066172eb36db218af7","San Jose State University, United States; Purdue University, United States","Marbouti F., San Jose State University, United States; Diefes-Dux H.A., Purdue University, United States; Madhavan K., Purdue University, United States","Using predictive modeling methods, it is possible to identify at-risk students early and inform both the instructors and the students. While some universities have started to use standards-based grading, which has educational advantages over common score-based grading, at–risk prediction models have not been adapted to reap the benefits of standards-based grading in courses that utilize this grading. In this paper, we compare predictive methods to identify at-risk students in a course that used standards-based grading. Only in-semester performance data that were available to the course instructors were used in the prediction methods. When identifying at-risk students, it is important to minimize false negative (i.e., type II) error while not increasing false positive (i.e., type I) error significantly. To increase the generalizability of the models and accuracy of the predictions, we used a feature selection method to reduce the number of variables used in each model. The Naive Bayes Classifier model and an Ensemble model using a sequence of models (i.e., Support Vector Machine, K-Nearest Neighbors, and Naive Bayes Classifier) had the best results among the seven tested modeling methods. © 2016 The Authors","First-year engineering; Learning analytics; Predictive modeling; Standards-based grading; Students success","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84988526942"
"Conn K.M.","Conn, Katharine M. (57195588511)","57195588511","Identifying Effective Education Interventions in Sub-Saharan Africa: A Meta-Analysis of Impact Evaluations","2017","Review of Educational Research","87","5","","863","898","35","61","10.3102/0034654317712025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028966448&doi=10.3102%2f0034654317712025&partnerID=40&md5=c29b8468c16b0136852df427d18f9c86","Teachers College, Columbia University, United States","Conn K.M., Teachers College, Columbia University, United States","In this article, I identify educational interventions with an impact on student learning in Sub-Saharan Africa. After a systematic literature search, I conducted a meta-analysis synthesizing 56 articles containing 66 separate experiments and quasi-experiments and 83 treatment arms. I evaluated 12 types of education interventions such as the provision of school supplies, the use of teacher incentives, and school-based management programs. I examine each intervention type, present analytics on relative effectiveness, and explore why certain interventions seem to be more effective. A key finding is that programs that alter teacher pedagogy or classroom instructional techniques had an effect size approximately 0.30 standard deviations greater than all other types of programs combined. Limited evidence further suggests that pedagogical programs that employed adaptive instruction or teacher coaching were particularly effective. Given that the literature in the field is still nascent overall, these results advocate for further research into these pedagogical interventions. © 2017, © 2017 AERA.","education and developing countries; impact evaluation; meta-analysis; randomized experiment; Sub-Saharan Africa","Article","Final","","Scopus","2-s2.0-85028966448"
"Grover S.; Basu S.; Bienkowski M.; Eagle M.; Diana N.; Stamper J.","Grover, Shuchi (55606048500); Basu, Satabdi (40660922300); Bienkowski, Marie (7004574232); Eagle, Michael (24080428500); Diana, Nicholas (57189891767); Stamper, John (15758786800)","55606048500; 40660922300; 7004574232; 24080428500; 57189891767; 15758786800","A framework for using hypothesis-driven approaches to support data-driven learning analytics in measuring computational thinking in block-based programming environments","2017","ACM Transactions on Computing Education","17","3","14","","","","63","10.1145/3105910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028615354&doi=10.1145%2f3105910&partnerID=40&md5=ea0520bdf65cada733331281628fed6b","SRI International, 333 Ravenswood Avenue, Menlo Park, 94025, CA, United States; Human-Computer Interaction Institute, Computer Science Department, Carnegie Mellon University, Pittsburgh, 15213, PA, United States","Grover S., SRI International, 333 Ravenswood Avenue, Menlo Park, 94025, CA, United States; Basu S., SRI International, 333 Ravenswood Avenue, Menlo Park, 94025, CA, United States; Bienkowski M., SRI International, 333 Ravenswood Avenue, Menlo Park, 94025, CA, United States; Eagle M., Human-Computer Interaction Institute, Computer Science Department, Carnegie Mellon University, Pittsburgh, 15213, PA, United States; Diana N., Human-Computer Interaction Institute, Computer Science Department, Carnegie Mellon University, Pittsburgh, 15213, PA, United States; Stamper J., Human-Computer Interaction Institute, Computer Science Department, Carnegie Mellon University, Pittsburgh, 15213, PA, United States","Systematic endeavors to take computer science (CS) and computational thinking (CT) to scale in middle and high school classrooms are underway with curricula that emphasize the enactment of authentic CT skills, especially in the context of programming in block-based programming environments. There is, therefore, a growing need to measure students' learning of CT in the context of programming and also support all learners through this process of learning computational problem solving. The goal of this research is to explore hypothesis-driven approaches that can be combined with data-driven ones to better interpret student actions and processes in log data captured from block-based programming environments with the goal of measuring and assessing students' CT skills. Informed by past literature and based on our empirical work examining a dataset from the use of the Fairy Assessment in the Alice programming environment in middle schools, we present a framework that formalizes a process where a hypothesis-driven approach informed by Evidence-Centered Design effectively complements data-driven learning analytics in interpreting students' programming process and assessing CT in block-based programming environments. We apply the framework to the design of Alice tasks for high school CS to be used for measuring CT during programming. © 2017 ACM.","Blended learning analytics; Block-based programming environments; Computational psychometrics; Data-driven; Evidence-Centered Design; Hypothesis-driven; K-12 computer science education","Article","Final","","Scopus","2-s2.0-85028615354"
"Teasley S.D.","Teasley, Stephanie D. (6603844545)","6603844545","Student Facing Dashboards: One Size Fits All?","2017","Technology, Knowledge and Learning","22","3","","377","384","7","76","10.1007/s10758-017-9314-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018330175&doi=10.1007%2fs10758-017-9314-3&partnerID=40&md5=6b5fccb8bee2abdbd161c5f455f498d7","School of Information, University of Michigan, Ann Arbor, MI, United States","Teasley S.D., School of Information, University of Michigan, Ann Arbor, MI, United States","This emerging technology report reviews a new development in educational technology, student-facing dashboards, which provide comparative performance feedback to students calculated by Learning Analytics-based algorithms on data generated from university students’ use of educational technology. Instructor- and advisor-facing dashboards emerged as one of the first direct applications of Learning Analytics, but the results from early implementations of these displays for students provide mixed results about the effects of their use. In particular, the “one-size-fits-all” design of many existing systems is questioned based on findings in related research on performance feedback and student motivation which has shown that various internal and external student-level factors affect the impact of feedback interventions, especially those using social comparisons. Integrating data from student information systems into underlying algorithms to produce personalized dashboards may mediate the possible negative effects of feedback, especially comparative feedback, and support more consistent benefits from the use of such systems. © 2017, Springer Science+Business Media Dordrecht.","Dashboards; Higher education; Learning Analytics; Motivation; Performance feedback; Social comparison","Article","Final","","Scopus","2-s2.0-85018330175"
"Marks A.; AL-Ali M.; Rietsema K.","Marks, Adam (24759128700); AL-Ali, Maytha (57189627382); Rietsema, Kees (57190045210)","24759128700; 57189627382; 57190045210","Learning management systems: A Shift Toward learning and academic analytics","2016","International Journal of Emerging Technologies in Learning","11","4","","77","82","5","19","10.3991/ijet.v11i04.5419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976869160&doi=10.3991%2fijet.v11i04.5419&partnerID=40&md5=8bf14ed933d98830ef4c328c44132c23","Zayed University, Dubai, United Arab Emirates; Embry-Riddle Aeronautical University - Worldwide, United States","Marks A., Zayed University, Dubai, United Arab Emirates; AL-Ali M., Zayed University, Dubai, United Arab Emirates; Rietsema K., Embry-Riddle Aeronautical University - Worldwide, United States","This paper presents the major findings from a study conducted with six different universities in the U.S. regarding their use of the Learning Analytics (LA) capabilities available within their learning management systems (LMS). Data was collected from an online survey instrument, in-depth interviews with IT directors and academic administrators, and a case study in Embry-Riddle Aeronautical University. One observation is that universities are attempting to make better use of new analytics functions and the data stored in the university LMS in order to make more informed decisions regarding short-term and longterm goals and objectives. The new functions include analytics performed at the institutional level, college level, degreeprogram level, course level, and even course section level. Courses and degree programs as well as learning performance and objectives can be measured and analyzed using different goals, criteria, and accreditation requirements. © 2016.","Higher education; Learning analytics; Learning management systems","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84976869160"
"Siryani J.; Tanju B.; Eveleigh T.J.","Siryani, Joseph (57151356000); Tanju, Bereket (6508276912); Eveleigh, Timothy J. (6506128557)","57151356000; 6508276912; 6506128557","A Machine Learning Decision-Support System Improves the Internet of Things' Smart Meter Operations","2017","IEEE Internet of Things Journal","4","4","7964681","1056","1066","10","87","10.1109/JIOT.2017.2722358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022019265&doi=10.1109%2fJIOT.2017.2722358&partnerID=40&md5=ae045b2fe9b713f61df595ff19a18cb7","Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, 20052, DC, United States","Siryani J., Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, 20052, DC, United States; Tanju B., Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, 20052, DC, United States; Eveleigh T.J., Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, 20052, DC, United States","An Internet of Things' (IoT) connected society and system represents a tremendous paradigm shift. We present a framework for a decision-support system (DSS) that operates within the IoT ecosystem. The DSS leverages advanced analytics of electric smart meter (ESM) network communication-quality data to improve cost predictions for smart meter field operations and provide actionable decision recommendations regarding whether to send a technician to a customer location to resolve an ESM issue. The model is empirically evaluated using data sets from a commercial network. We demonstrate the efficiency of our approach with a complete Bayesian network prediction model and compare with three machine learning prediction model classifiers: 1) Naïve Bayes; 2) random forest; and 3) decision tree. Results demonstrate that our approach generates statistically noteworthy estimations and that the DSS will improve the cost efficiency of ESM network operations and maintenance. © 2014 IEEE.","Analytics; Bayesian networks; cyber-physical systems (CPSs); decision support system; information and communication technologies (ICT); Internet of Things (IoT); machine learning (ML); machine-to-machine (M2M); operations and maintenance (O&M); smart cities; smart grid; smart meters; utility","Article","Final","","Scopus","2-s2.0-85022019265"
"Heider J.S.","Heider, Joseph S. (56747586700)","56747586700","Using Digital Learning Solutions to Address Higher Education’s Greatest Challenges","2015","Publishing Research Quarterly","31","3","","183","189","6","11","10.1007/s12109-015-9413-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938303382&doi=10.1007%2fs12109-015-9413-8&partnerID=40&md5=d4be39a14503429043e212f28a9aba3a","Global Education, John Wiley & Sons, Inc., 111 River Street, Hoboken, 07030-5774, NJ, United States","Heider J.S., Global Education, John Wiley & Sons, Inc., 111 River Street, Hoboken, 07030-5774, NJ, United States","Digital learning solutions, if effectively implemented, can be used to improve student engagement, retention, and ultimately completion rates in higher education. The findings in this paper are based on the research and development of WileyPLUS Learning Space. The research involved a deep investigation of the changes and challenges buffeting the teaching and learning environment, including new demands and expectations from learners, administrators, policy makers and other stakeholders in higher education. The development of WileyPLUS Learning Space demonstrates solutions that digital learning technologies can bring to some of these extraordinary challenges. © 2015, Springer Science+Business Media New York.","Analytics; Data; Early diagnosis; Learning experience; Learning outcomes; Student engagement","Article","Final","","Scopus","2-s2.0-84938303382"
"Smith C.; King B.; Gonzalez D.","Smith, Carmen (55235607500); King, Barbara (36844155700); Gonzalez, Diana (57193602817)","55235607500; 36844155700; 57193602817","Using multimodal learning analytics to identify patterns of interactions in a body-based mathematics activity","2016","Journal of Interactive Learning Research","27","4","","355","379","24","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015171708&partnerID=40&md5=644db1fe90116643c810ccadc0b5bd66","University of Vermont, United States; Florida International University, United States","Smith C., University of Vermont, United States; King B., Florida International University, United States; Gonzalez D., University of Vermont, United States","Elementary students' difficulties with angles in geometry are well documented, but we know little about how they conceptualize angles while solving problems and how their thinking changes over time. In this study, we examined 26 third and fourth grade students completing a body-based angle task supported by the Kinect for Windows. We used fine-grained, multimodal data detailing students' actions and language to identify three common patterns of interactions during the task: the explore, dynamic, and static clusters. We found that students with higher learning gains spent significantly more time in the dynamic cluster than students with low learning gains. Implications for mathematics teaching and research using body-based tasks are discussed.","Embodied cognition; Mathematics education; Multimodal learning analytics","Article","Final","","Scopus","2-s2.0-85015171708"
"Nelson B.C.; Bowman C.; Bowman J.","Nelson, Brian C. (16233935100); Bowman, Cassie (56748578700); Bowman, Judd (7401849890)","16233935100; 56748578700; 7401849890","Designing for Data with Ask Dr. Discovery: Design Approaches for Facilitating Museum Evaluation with Real-Time Data Mining","2017","Technology, Knowledge and Learning","22","3","","427","442","15","5","10.1007/s10758-017-9313-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015671859&doi=10.1007%2fs10758-017-9313-4&partnerID=40&md5=55070168c19227c09ff6e558f2a4001d","Arizona State University, Tempe, AZ, United States","Nelson B.C., Arizona State University, Tempe, AZ, United States; Bowman C., Arizona State University, Tempe, AZ, United States; Bowman J., Arizona State University, Tempe, AZ, United States","Ask Dr. Discovery is an NSF-funded study addressing the need for ongoing, large-scale museum evaluation while investigating new ways to encourage museum visitors to engage deeply with museum content. To realize these aims, we are developing and implementing a mobile app with two parts: (1) a front-end virtual scientist called Dr. Discovery (Dr. D) for use by museum visitors that doubles as an unobtrusive data-gatherer and (2) a back-end analytics portal to be mined by museum staff, evaluators, and researchers. With the aid of our museum partners, we are developing this app to function as a platform for STEM informal education, research, and data-driven decision-making by museum staff. The Dr. D app has been designed to engage museum visitors, while connecting with an analytic system to make sense, in real time, of the large amounts of data produced by visitors’ use of the app. The analytic system helps museum staff access and interpret ongoing evaluation data, regardless of experience or museum resources, informing the practice of professionals at the front lines of informal STEM education in diverse communities. The design of the Dr. D app incorporates open-source analytic tools that make the gathering and interpretation of contextual information from visitors’ app use accessible to museum staff and educators, building their capacity for using data in their day-to-day work. The same tools are being used by our research team to probe questions about informal learning and motivation, effective application of large datasets for museum evaluation, and ways to encourage and understand use of mobile virtual experiences. In this paper, we describe our theory-based design of the Dr. D app and data analytics and describe findings from initial user testing with our museum partners. © 2017, Springer Science+Business Media Dordrecht.","Data-mining; Informal STEM learning; Instructional design; Museum evaluation","Article","Final","","Scopus","2-s2.0-85015671859"
"Gilliland K.O.","Gilliland, Kurt O. (7003704150)","7003704150","The Flipped Classroom and Learning Analytics in Histology","2017","Medical Science Educator","27","1","","9","13","4","18","10.1007/s40670-016-0364-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049575368&doi=10.1007%2fs40670-016-0364-2&partnerID=40&md5=66835668606e444c38f262d2e0084923","Department of Cell Biology and Physiology, University of North Carolina School of Medicine, Campus Box 7090, Chapel Hill, 27599-7090, NC, United States","Gilliland K.O., Department of Cell Biology and Physiology, University of North Carolina School of Medicine, Campus Box 7090, Chapel Hill, 27599-7090, NC, United States","The success of the flipped classroom relies upon the preparation of students before class and their participation in class. Learning analytics allows faculty to determine the extent to which students are prepared. In a histology course utilizing the flipped classroom, learning analytics showed that only some students prepare for class. However, learning analytics also enabled faculty to determine problematic content in advance of the session. © 2017, International Association of Medical Science Educators.","Analytics; Flipped classroom; Histology; Medical education; Video module","Article","Final","","Scopus","2-s2.0-85049575368"
"Scott J.; Philip N.T.","Scott, John (56105144900); Philip, Nichols T. (57196146927)","56105144900; 57196146927","Learning analytics as assemblage: Criticality and contingency in online education","2017","Research in Education","98","1","","83","105","22","19","10.1177/0034523717723391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032003699&doi=10.1177%2f0034523717723391&partnerID=40&md5=3a7d9fa03a97842164e4b1b1a40d949d","University of California, Berkeley, United States; University of Pennsylvania, 3700 Walnut Street, Philadelphia, 19104, PA, United States","Scott J., University of California, Berkeley, United States; Philip N.T., University of Pennsylvania, 3700 Walnut Street, Philadelphia, 19104, PA, United States","Recently, the possibilities for leveraging ''big data'' in research and pedagogy have given rise to the growing field of ''learning analytics'' in online education. While much of this work has focused on quantitative metrics, some have called for critical perspectives that interrogate such data as an interplay between technical infrastructures and contingent social practices. Following such calls, this article conceptualizes ''learning analytics'' as an assemblage of technical, designed, and sociocognitive dimensions. Drawing on DeLanda's articulation of assemblage theory, we examine the ways online learning unfolds within and across these scales by using illustrative quantitative and qualitative data-click-data, user-generated content, and student interviews-from three online higher education courses. We consider how insights generated from such a stance might contribute to critical perspectives on how power circulates in online learning environments-A framework we call ''critical learning analytics.'' We conclude by offering some possibilities for which such a framework might be put to use-not only to map learning analytics as assemblage, but also to imagine how they might be assembled otherwise to promote more ethical instruction and more equitable student flourishing. © 2017 The Author(s).","Assemblage theory; Big data; Critical education; Higher education; Learning analytics; Online learning","Article","Final","","Scopus","2-s2.0-85032003699"
"Nicholls G.M.; Restauri S.L.","Nicholls, Gillian M. (15080993100); Restauri, Sherri L. (16200295900)","15080993100; 16200295900","Instituting and assessing the effectiveness of focused e-learning modules in engineering education","2015","International Journal of Engineering Education","31","2","","461","475","14","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924935627&partnerID=40&md5=6a44ef0a624b121c84ec4c579349a464","Southeast Missouri State University, Quantitative Methods-Dept. of Accounting, Mailstop 5815, One University Plaza, Cape Girardeau, 63701, MO, United States; University of Alabama in Huntsville, Distance Learning for Academic Affairs and College of Engineering, Wilson Hall, Huntsville, 35899, AL, United States","Nicholls G.M., Southeast Missouri State University, Quantitative Methods-Dept. of Accounting, Mailstop 5815, One University Plaza, Cape Girardeau, 63701, MO, United States; Restauri S.L., University of Alabama in Huntsville, Distance Learning for Academic Affairs and College of Engineering, Wilson Hall, Huntsville, 35899, AL, United States","This study examines the development, utilization, and assessment of e-learning modules designed to assist students in mastering core concepts in a hybrid undergraduate engineering economic analysis class. The online learning aids focused upon key conceptual material that students had historically experienced difficulty learning within this course. The modules consisted of a short audio/video ""micro-lecture"" (ML) recording about a particular topic accompanied by downloadable reference documents containing the associated ML PowerPoint1 slides and example problems. Automated assessment exercises were created for students to practice their grasp of the concepts. The online assessments and reference materials were hosted within the course learning management system, while theMLvideos were accessed through a separate distance learning platform. Detailed records of students' use of the MLs, online assessment scores, exam performance, prior academic performance, and demographic variables were gathered. This data was compared to results for students in two previously taught sections who served as controls for the study. Although preliminary data indicates that the focused modules have been helpful to some students, data results overall were inconclusive in demonstrating improved learning outcomes across the board for students in the targeted course. Recommendations for improvements to data collection across multiple selections, methodology design, and e-learning tool implementation are provided for future studies. © 2015 TEMPUS Publications.","Active learning; Analytics; Dashboard; E-learning; Generative learning; Hybrid; Learning assessment; Learning management system; Lecture capture; M-learning; Mediasite; Micro-learning; Micro-lecture; Online learning resources; Panopto; Student persistence","Article","Final","","Scopus","2-s2.0-84924935627"
"Xie C.; Zhang Z.; Nourian S.; Pallant A.; Hazzard E.","Xie, Charles (41461929600); Zhang, Zhihui (56033154600); Nourian, Saeid (6506704591); Pallant, Amy (56194572600); Hazzard, Edmund (35183112000)","41461929600; 56033154600; 6506704591; 56194572600; 35183112000","Time series analysis method for assessing engineering design processes using a CAD tool","2014","International Journal of Engineering Education","30","1","","218","230","12","44","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893847912&partnerID=40&md5=fd16318bdb760951e3a9fcf35ff81c7e","Concord Consortium, Concord, MA 01742, United States","Xie C., Concord Consortium, Concord, MA 01742, United States; Zhang Z., Concord Consortium, Concord, MA 01742, United States; Nourian S., Concord Consortium, Concord, MA 01742, United States; Pallant A., Concord Consortium, Concord, MA 01742, United States; Hazzard E., Concord Consortium, Concord, MA 01742, United States","This paper proposes a novel computational approach based on time series analysis to assess engineering design processes using a CAD tool. To collect research data without disrupting a design learning process, design actions and artifacts are continuously logged as time series by the CAD tool behind the scenes, while students are working on a design challenge. These fine-grained data can be used to reconstruct and analyze the entire design process of a student with extremely high resolution. Results of a pilot study in a high school engineering class, in which students solved a solar urban design challenge, suggest that these data can be used to measure the level of student engagement, reveal the gender differences in design behaviors, and distinguish the iterative and non-iterative cycles in a design process. From the perspective of engineering education, this paper contributes to the emerging fields of educational data mining and learning analytics that aim to expand evidence approaches for learning in a digital world.","Computer-aided design; Computer-based assessment; Educational data mining; Engineering design; Engineering education; Learning analytics; Time series analysis","Article","Final","","Scopus","2-s2.0-84893847912"
"Hargis J.; Soto M.","Hargis, Jace (24070715300); Soto, Melissa (55660740000)","24070715300; 55660740000","Embracing the critical pedagogical issues in higher education: Strategic implementation of appropriate, relevant technology; [Asuntos pedagógicos críticos en la educación superior: Implementación estratégica de tecnología apropiada y relevante]","2015","Journal of Science Education","16","2","","44","48","4","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939812029&partnerID=40&md5=392647e908ec2069232cbc9dfbad4776","Chaminade University, Honolulu, United States; San Diego State University, United States","Hargis J., Chaminade University, Honolulu, United States, San Diego State University, United States; Soto M., Chaminade University, Honolulu, United States, San Diego State University, United States","This paper describes some of the critical issues facing higher education today and encourages an attitude of embracing those challenges. The authors connect the attributes of what the best teachers do to using meaningful, appropriate technology, as well as integrating expert predictions. Issues discussed include preparing learners for uninvented careers, MOOCs and nano-degrees, digital content creation, play with purpose maker economy, fabrication labs to create accessible electronic learning objects, big data learning analytics, wearable technology, the quantifiable self, the internet of things, and mobile learning.A specific example of mobile learning as an umbrella framework will be shared with lessons learned and scholarly research findings. © Fundación Revista de Educación de las Ciencias.","ELearning objects; ePortfolios; Learning analytics; Mobile learning; MOOCs; OER","Article","Final","","Scopus","2-s2.0-84939812029"
"Fujimaki R.; Muraoka Y.; Ito S.; Yabe A.","Fujimaki, Ryohei (56023161800); Muraoka, Yusuke (57220484444); Ito, Shinji (57220740055); Yabe, Akihiro (57189346562)","56023161800; 57220484444; 57220740055; 57189346562","From prediction to decision making - Predictive optimization technology","2016","NEC Technical Journal","11","1","","62","65","3","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013815897&partnerID=40&md5=b9ea125da24d4b4d065af496a2025e3a","Data Science Research Laboratories, United States","Fujimaki R., Data Science Research Laboratories, United States; Muraoka Y., Data Science Research Laboratories, United States; Ito S., Data Science Research Laboratories, United States; Yabe A., Data Science Research Laboratories, United States","Energy demand forecasting for each city area, sales prediction for each product in a retail store, prediction of decline in customer satisfaction toward provided services, etc. The importance of accumulation and utilization of big data is now recognized widely. Progress in the machine learning technologies, such as in NEC's heterogeneous mixture learning technology is enabling highly precise data-driven predictions. This paper introduces decision making and actual application cases using artificial intelligence (AI) together with the associated challenges that go beyond prediction. The ""Predictive Optimization"" discussed here is the state-of-the-art technology that allows us to make decisions (what should we do) based on predictions (what will happen).","Advanced analysis; Artificial intelligence (AI); Big data; Data science; Decision making; Heterogeneous mixture learning; Machine learning; Mathematical optimization; Predictive analysis","Article","Final","","Scopus","2-s2.0-85013815897"
